;animal_001;animal_012;animal_016;animal_018;animal_032;animal_034;animal_043;animal_051;animal_053;animal_061;animal_063;animal_067;animal_068;animal_082;animal_090;animal_094;animal_106;animal_111;animal_117
plant_03;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plant_04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
plant_06;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0
plant_08;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
plant_17;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
plant_19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plant_22;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
plant_23;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
plant_26;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
plant_27;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
plant_36;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
plant_41;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plant_46;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
plant_49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
plant_52;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
plant_54;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plant_60;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plant_62;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
